"name","manufacturer","category","price","stock_quantity","requires_prescription","image_url","expiry_date","Condition/Symptoms","Dosage/Strength"
"GLOW 70mg",,,144,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_33_54-AM.webp",,,
"KLOW 80mg",,,152,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_30_53-AM.webp",,,
"NAD+ 1000mg",,,160,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_33_47-AM.webp",,,
"Glp2 - TZ 60mg",,,600,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_33_39-AM.webp",,,
"AOD-9604 10",,,56,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_32_20-AM.webp",,,
"Glutathione 1500",,,68,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_32_32-AM.webp",,,
"MT2 10",,,64,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_32_44-AM.webp",,,
"CJC-1295+IPA 10mg",,,60,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_32_57-AM.webp",,,
"GLPIII- R 20mg",,,280,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_30_31-AM.webp",,,
"Mixing Solution 10ml",,,12,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_33_06-AM.webp",,,
"Mixing Solution 3ml",,,8,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_33_18-AM.webp",,,
"BPC-157 10mg",,,56,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_33_27-AM.webp",,,
"GHK-Cu 50mg",,,68,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_31_21-AM.webp",,,
"GHK-Cu 100mg",,,120,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_31_30-AM.webp",,,
"MOTS-C 20mg",,,120,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_31_12-AM.webp",,,
"Kisspeptin 10mg",,,80,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_31_05-AM.webp",,,
"Tesamorelin 20mg",,,200,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_30_47-AM.webp",,,
"Wolverine 20mg",,,150,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_30_59-AM.webp",,,
"Recon Solution 10mL",,,15,0,false,"https://getfit.genestac.com/wp-content/uploads/2026/05/ChatGPT-Image-May-2-2026-10_33_06-AM.webp",,,
